Processed Files,Failed Files
,SW-Nachermittlung in-tem-20823019+RP-42000801_Total.xlsx
,20823020  INTEM 2. Sichtprüfung 2016-12-22.xlsx
20823020 INTEM 2016-12-22.xlsx,
20823021 INTEM 2016-11-14.xlsx,
,SW-Nachermittlung in-tem-20823021+RN_21651023+21651024+42023001-FINAL.xlsx
,SW-Nachermittlung in-tem-20823021+RN_21651023+21651024-Template.xlsx
,SW-Nachermittlung in-tem-20823021+RN_42000701+42023001-Template.xlsx
,20823024  INTEM Sichtprüfung 2017-02-07.xlsx
INTEM  20823024   2017-02-03.xlsx,
,20823025  INTEM    2017-03-15 Sichtprüfung.xlsx
20823025  INTEM   2017-03-14.xlsx,
20823026  INTEM   2017-07-06.xlsx,
,20823026  INTEM  Sichtprüfung  2017-07-06.xlsx
20823027  INTEM  2017-10-06.xlsx,
,20823027 INTEM Sichtprüfung 2017-10-09.xlsx
20823028  INTEM 2018-04-06.xlsx,
,20823028 INTEM  Sichtprüfung 2018-04-05.xlsx
,20823029  INTEM Sichtprüfung 2018-05-25.xlsx
20823029 INTEM  2018-05-29.xlsx,
,20823030 INTEM Sichtprüfung 2018-12-20.xlsx
20823031 INTEM 2019-10-29.xlsx,
,20823031 Intem Sichtprüfung 2019-10-29.xlsx
,20823032 INTEM 2020-04-16.xlsx
,20823032 Intem Sichtprüfung 2020-04-08.xlsx
,00_SWNE in-tem 20823033_Sheet 1.xlsx
,00_SWNE in-tem 20823033_Sheet 2.xlsx
,01_SWNE in-tem 20823033_Sheet 1.xlsx
,01_SWNE in-tem 20823033_Sheet 2.xlsx
,02_SWNE in-tem 20823033_Sheet 1 HB1 location JB 22-10-2020.xlsx
,02_SWNE in-tem 20823033_Sheet 2 HB1 location JB 22-10-2020.xlsx
,03_SWNE in-tem 20823033_Sheet 1.xlsx
,03_SWNE in-tem 20823033_Sheet 2.xlsx
intem 20823033   2020-10-08.xlsx,
,SWNE in-tem 20823033_Sheet 1_templ.xlsx
,SWNE in-tem 20823033_Sheet 2_templ.xlsx
,00_Target range reassignment in-tem 693-40_FINAL.xlsx
,01_Target range reassignment in-tem 693-40_HB1_13-11-2020.xlsx
,02_Target range reassignment in-tem 693-40_HB2_12-11-2020.xlsx
,03_Target range reassignment in-tem 693-40_Tem.xlsx
,20823034   intem Sichtprüfung  2020-11-18.xlsx
INTEM 693-40  = 20823034  2022-10-27.xlsx,
,Target range reassignment in-tem 693-40_template.xlsx
intem HF 693-42 - 20823035 ROW + 23288010 US.xlsx,
,Intem 41590401 Kundenrekl. 13-11-07.xlsx
,Intem 41590401 Kundenrekl. 13-11-07_part 1 repeated.xlsx
intem LOT 41590401 2 Sichtprüfung 12-03-08.xlsx,
,Intem 41687901 Sichtkontrolle 2. Lieferung 2012-12-13.xlsx
,Intem 41693401.xlsx
,Intem 41717701 2012-12-18.xlsx
,Intem 41717701 Sichtkontrolle 2 Lieferung 13-04-11.xlsx
,Ergänzung zu INTEM 41757801 2014-01-13.xlsx
,INTEM 41757801 2013-09-16.xlsx
INTEM 41757801 2014-01-10.xlsx,
INTEM 41757801 NFR 2014-01-10.xlsx,
INTEM 41814201.xlsx,
INTEM 41826501 US (=41826601 row) Sichtprüfung 14-05-08.xlsx,
INTEM 41826601 ROW (=41826501 us)  14-05-08.xlsx,
Intem 41854901 ROW( 41851501 us)2014-10-08.xlsx,
INTEM 41876201.xlsx,
INTEM 41879301.xlsx,
INTEM 41884001  2015-01-13.xlsx,
,SW-Nachermittlung in-tem-41962101+RN41954201-RN21651021+RN41972701_TOTAL.xlsx
,INTEM 42092101 Sichtprüfung 2017-07-19.xlsx
INTEM  42123201 row 2017-12-21.xlsx,
,Intem 42123201 row _1.Sichtprüfung = US 42123301.xlsx
Intem 42191401  2018-09-07.xlsx,
,Intem 42191401 row Sichtprüfung 2018-09-06.xlsx
,Intem 42234701 1.Sichtprüfung 2018-01-18.xlsx
,Intem 42243001 row Sichtprüfung  2019-02-28.xlsx
Intem 42243001 row=42243201 US    2019-02-28.xlsx,
,Intem 42272901 Sichtprüfung 20190612.xlsx
intem 42301801   2019-10-07.xlsx,
,intem 42301801  Sichtprüfung  2019-10-08.xlsx
intem 42306301  2020-01-13.xlsx,
,intem 42306301  Sichtprüfung  2019-12-19.xlsx
,SWNE in-tem 42306301.xlsx
,intem  42340101  Sichtprüfung  2020-06-02.xlsx
intem 42340101 2020-06-02.xlsx,
intem 42345201 HF  2020-04-07.002.xlsx,
,intem 42349801  Sichtprüfung  2019-05-27.xlsx
,01_SWNE in-tem 42384801_Sheet 1_final.xlsx
,01_SWNE in-tem 42384801_Sheet 2_final.xlsx
,02_SWNE in-tem 42384801_Sheet 1_DSM.xlsx
,02_SWNE in-tem 42384801_Sheet 2_DSM.xlsx
,03_SWNE in-tem 42384801_Sheet 1_Tem.xlsx
,03_SWNE in-tem 42384801_Sheet 2_Tem.xlsx
,intem  42391401  Sichtprüfung  2020-11-04.xlsx
intem HF 42384801 2020-09-30.xlsx,
,intem  42399401  Sichtprüfung  2021-01-08.xlsx
intem  42403801 HF = 42399401  2020-12-07.xlsx,
,intem  42403801 HF mit 4xRP Zusatzmessungen mit SWNE (Intem 20823033).xlsx
intem  42418501 HF 2021-04-06.xlsx,
,intem 42419001 Sichtprfg.=HF 42418501.xlsx
,Intem B-570-13  13-01-08.xlsx
,Intem CA 41733601 130301.xlsx
INTEM 41769401 CA 20131111.xlsx,
INTEM 41895701 CA Sichtprüf. 2015-02-18.xlsx,
INTEM 41980501 CA  2016-04-26.xlsx,
INTEM 42019101 CA  2016-09-12.xlsx,
INTEM 42039301 CA    2017-02-14-1.xlsx,
,INTEM 42039301 CA  Sichtprüfung  2017-02-15-1.xlsx
,INTEM CA  42188701  Sichtprüfung  2018-10-17.xlsx
Intem CA 42188701    2018-10-22.xlsx,
,Intem CA 42229401 1.Sichtprüfung =ROW 42191401.xlsx
Intem CA 42243101  2019-03-08.xlsx,
,Intem CA 42243101 Sichtprüfung  2019-03-06 (1).xlsx
,Intem CA 42243101 Sichtprüfung  2019-03-06.xlsx
,Intem CA 42272801= CA 42243101 Sichtprfg.2019-05-22.xlsx
,intem CA 42300001 20191007.xlsx
,intem CA 42389901  Sichtprüfung  2020-11-04.xlsx
intem  42403801 HF   2020-12-07.xlsx,
,intem  CA 42400701  Sichtprüfung  2021-01-08.xlsx
,INTEM US 41456201.xls
,INTEM US 41464801.xls
,INTEM US 41494401.xls
,intem US Lot 41506201 10-12-10.xls
,INTEM US 41541701 2011-05-27 Sichtprüfung.xls
intem US LOT 41541701 2011-05-05.xls,
23288001 INTEM  2016-02-04.xlsx,
23288001 INTEM  2016-03-14.xlsx,
,All Blood Samples for intem 23288001.xlsx
,23288002 INTEM US Sichtprüfung+RN und RP.xlsx
,23288003 INTEM US Sichtprüfung.xlsx
23288005 INTEM US RN+RP für Sichtprüfung.xlsx,
,23288005 INTEM US Sichtprüfung 2017-07-06.xlsx
,23288006 INTEM Sichtprüfung 2018-12-21 .xlsx
23288006 INTEM US.xlsx,
,23288007 Intem US  Sichtprüfung 2019-10-23.xlsx
,23288007 INTEM US RN+RP für Sichtprüfung.xlsx
,00_SWNE in-tem 23288008_Sheet 1_Tem.xlsx
,00_SWNE in-tem 23288008_Sheet 2_Tem.xlsx
,01_SWNE in-tem 23288008_Sheet 1.xlsx
,01_SWNE in-tem 23288008_Sheet 2.xlsx
,02_SWNE in-tem 23288008_Sheet 1 HB1 location JB 22-10-2020.xlsx
,02_SWNE in-tem 23288008_Sheet 2 HB1 Location JB 22-10-2020.xlsx
,03_SWNE in-tem 23288008_Sheet 1_Tem.xlsx
,03_SWNE in-tem 23288008_Sheet 2_Tem.xlsx
23288008  intem US   2020-10-15.xlsx,
,23288008 Intem US  Sichtprüfung 2020-10-08.xlsx
,SWNE in-tem 23288008_Sheet 1_temp.xlsx
,SWNE in-tem 23288008_Sheet 2_temp.xlsx
,23288009 Intem US  Sichtprüfung 2020-11-27.xlsx
,23288009 INTEM US RN+RP für Sichtprüfung.xlsx
INTEM 693-40  = 23288009  2022-10-27.xlsx,
,23288010 INTEM US RN+RP für Sichtprüfung.xlsx
,23288010 Intem US Sichtprüfung 2021-06-01.xlsx
,INTEM Lot 41717601  13-02-04.xlsx
INTEM 41743301 US  2013-07-18.xlsx,
INTEM 41826501 US (=41826601 row) 2.Sichtprüfung 14-06-30.xlsx,
,Intem US 41851501 (=41854901 row) 2014-10-08.xlsx
"INTEM 41895801 US Sichtprüf. u. 12x RN, RP 2015-02-18.xlsx",
intem 41905301 US  2015-03-12.xlsx,
INTEM 41926301 US  2015-06-11.xlsx,
INTEM 41943601 US (=41943701) Sichtprüf.  2015-10-26.xlsx,
,INTEM 42003301 US  Sichtprüf.  2016-07-19.xlsx
2016-09-23 INTEM-US 42021501.xlsx,
,INTEM US 42070101 2017-04-07.xlsx
INTEM US 42092201 12 fb RN +RP = row 42092101_2017-08-09.xlsx,
,INTEM US 42092201 Sichtprüfung = row 42092101_2017-08-09.xlsx
Intem 42123301 US_12xRN+RP_2017-12-21.xlsx,
,Intem 42123301 US_Sichtprüfung=row 42123201_2018-12-21.xlsx
Intem 42191501 US_12xRN+RP_2018-09-07.xlsx,
,Intem US 42191501 Sichtprüfung 2018-09-07.xlsx
,Intem US 42234801 1.Sichtprüfung 2018-12-13.xlsx
Intem US 42234801 2018-12-14.xlsx,
,Intem US 42243201 1.Sichtprüfung 2019-02-20.xlsx
Intem US 42243201 RN+RP 12fb 2019-02-20.xlsx,
,Intem US 42266201 1.Sichtprüfung 2019-05-15.xlsx
Intem US 42266201 RN+RP 12fb 2019-05-15.xlsx,
intem US 42300101   2019-10-08.xlsx,
,intem US 42300101 20191007.xlsx
intem US  42306401   2019-01-10.xlsx,
,intem US 42306401 2019-12-19  Sichtprüfung.xlsx
intem US 42366001  2020-07-06.xlsx,
,intem US 42366001  Sichtprüfung  2020-07-07.xlsx
,intem US 42399501  Sichtprüfung  2021-01-08.xlsx
,intem US 42399501 RN+RP für Sichtprüfung.xlsx
intem  42418601 HF 2021-04-06.xlsx,
,intem US 42418901 RN+RP für Sichtprüfung.xlsx
,intem US 42418901 Sichtprfg.=HF 42418601.xlsx
,intem US 42430001 RN+RP für Sichtprüfung.xlsx
,intem US 42430001 Sichtprfg.=HF 42418501.xlsx
INTEM 41884001  2015-01-13_02.xlsx,
INTEM 41895901  2015-02-20.xlsx,
intem  41911101   2015-05-08.xlsx,
INTEM 41943701 2015-09-16.xlsx,
INTEM  41949801  2015-10-28.xlsx,
INTEM_41949801_2015-10-28.xlsx,
INTEM  41962101  2015-10-28.xlsx,
,SW-Nachermittlung in-tem-41962101+RN41954201-RN21651021+RN41972701_DSM.xlsx
,SW-Nachermittlung in-tem-41962101+RN41954201-RN21651021+RN41972701_MUC.xlsx
,SW-Nachermittlung in-tem-41962101+RN41954201-RN21651021+RN41972701_Template.xlsx
